task,success,onnx_path,skipped,params,loss,epoch,hidden_dim,error
task094.json,False,,,,,,,Attempt failed
task114.json,True,.\task114.onnx,True,,,,,
task096.json,False,,,,,,,Attempt failed
task116.json,True,.\task116.onnx,True,,,,,
task101.json,False,,,,,,,Attempt failed
task118.json,True,.\task118.onnx,True,,,,,
task107.json,False,,,,,,,Attempt failed
task120.json,True,.\task120.onnx,True,,,,,
task108.json,False,,,,,,,Attempt failed
task122.json,True,.\task122.onnx,True,,,,,
task109.json,False,,,,,,,Attempt failed
task113.json,False,,,,,,,Attempt failed
task125.json,True,.\task125.onnx,True,,,,,
task126.json,True,.\task126.onnx,True,,,,,
task127.json,True,.\task127.onnx,True,,,,,
task128.json,True,.\task128.onnx,True,,,,,
task129.json,True,.\task129.onnx,True,,,,,
task130.json,True,.\task130.onnx,True,,,,,
task112.json,False,,,,,,,Attempt failed
task115.json,False,,,,,,,Attempt failed
task117.json,False,,,,,,,Attempt failed
task119.json,False,,,,,,,Attempt failed
task135.json,True,.\task135.onnx,True,,,,,
task121.json,False,,,,,,,Attempt failed
task123.json,False,,,,,,,Attempt failed
task124.json,False,,,,,,,Attempt failed
task139.json,True,.\task139.onnx,True,,,,,
task140.json,True,.\task140.onnx,True,,,,,
task131.json,False,,,,,,,Attempt failed
task142.json,True,.\task142.onnx,True,,,,,
task143.json,True,.\task143.onnx,True,,,,,
task144.json,True,.\task144.onnx,True,,,,,
task132.json,False,,,,,,,Attempt failed
task146.json,True,.\task146.onnx,True,,,,,
task147.json,True,.\task147.onnx,True,,,,,
task133.json,False,,,,,,,Attempt failed
task149.json,True,.\task149.onnx,True,,,,,
task150.json,True,.\task150.onnx,True,,,,,
task151.json,True,.\task151.onnx,True,,,,,
task152.json,True,.\task152.onnx,True,,,,,
task153.json,True,.\task153.onnx,True,,,,,
task154.json,True,.\task154.onnx,True,,,,,
task155.json,True,.\task155.onnx,True,,,,,
task156.json,True,.\task156.onnx,True,,,,,
task134.json,False,,,,,,,Attempt failed
task136.json,False,,,,,,,Attempt failed
task138.json,False,,,,,,,Attempt failed
task137.json,False,,,,,,,Attempt failed
task141.json,False,,,,,,,Attempt failed
task145.json,False,,,,,,,Attempt failed
task148.json,False,,,,,,,Attempt failed
task157.json,False,,,,,,,Attempt failed
task158.json,False,,,,,,,Attempt failed
task159.json,False,,,,,,,Attempt failed
